speaker	speakers_job	state_info	party_affiliation	barely_true_cnt	false_cnt	half_true_cnt	mostly_true_cnt	pants_on_fire_cnt	true_cnt
frank-caprio	R.I. General Treasurer	Rhode Island	democrat	0	0	4	0	0	0
david-scott	Congressman 	Georgia	democrat	0	0	2	0	0	0
scott-walker	Milwaukee County Executive	Wisconsin	republican	23	35	29	34	8	21
ron-johnson		Wisconsin	republican	10	7	8	7	1	4
donna-brazile	Political commentator	Washington, D.C.	democrat	0	1	3	7	0	0
paul-ryan	U.S. Representative	Wisconsin	republican	13	6	15	11	2	9
adam-hasner		Florida	republican	1	1	4	2	0	1
mark-pocan	State Assembly member, 78th District	Wisconsin	democrat	0	2	2	2	0	1
kathleen-sebelius	U.S. Health and Human Services Secretary	Kansas	democrat	1	0	1	3	1	0
bruce-elfant	Constable, Travis County, Precinct 5	Texas	democrat	0	0	0	1	0	2
alex-sink		Florida	democrat	0	2	2	4	0	9
government-not-god-pac			none	1	2	0	0	3	0
joe-scarborough	Host of a morning show on MSNBC		none	1	3	2	3	0	1
david-jolly		Florida	republican	4	0	0	1	0	2
jon-keyser		Colorado	republican	0	1	0	0	1	0
sean-hannity	Radio/TV host		none	2	4	2	2	1	4
rush-limbaugh	Radio host		none	9	10	4	2	10	0
john-robitaille		Rhode Island	republican	0	1	2	0	0	2
patricia-morgan	Financial adviser	Rhode Island	republican	1	0	0	1	0	0
dave-brat	College professor	Virginia	republican	2	3	0	2	0	2
mark-warner	U.S. Senator	Virginia	democrat	3	1	5	2	0	8
rob-portman	U.S. senator from Ohio	Ohio	republican	2	4	7	9	1	11
john-cornyn	Senator	Texas	republican	4	3	6	2	1	7
louie-gohmert	U.S. House member	Texas	republican	2	4	1	0	1	0
democratic-congressional-campaign-committee			democrat	9	7	3	0	7	0
texas-right-life		Texas	none	0	2	2	0	0	0
armond-budish	Minority leader in the Ohio House of Representatives	Ohio	democrat	0	1	1	2	0	1
jeff-kruse	state senator	Oregon	republican	0	0	1	0	2	0
mike-haridopolos	Florida Senate President	Florida	republican	0	3	1	1	0	1
kendrick-meek		Florida	democrat	2	5	1	4	0	4
americans-united-change			none	1	3	3	0	0	0
eric-cantor	House Majority Leader	Virginia	republican	6	6	2	3	2	4
ron-paul	U.S. representative	Texas	republican	4	7	4	7	3	6
gary-johnson	Presidential candidate	New Mexico	libertarian	3	2	5	5	0	0
stephen-sweeney	State Senator		democrat	1	2	2	1	0	2
sheldon-whitehouse	U.S. Senator	Rhode Island	democrat	2	3	1	5	0	9
pat-quinn	Governor	Illinois	democrat	0	0	1	0	1	0
matthew-dowd	Commentator	Texas	independent	0	0	2	3	0	1
one-new-jersey			democrat	0	0	1	2	0	0
darrell-issa	U.S. House of Representatives	California	republican	0	3	0	0	0	0
robert-gibbs	Former White House Press Secretary		democrat	1	1	0	1	0	4
alan-grayson	U.S. House of Representatives	Florida	democrat	5	5	3	9	1	7
chris-christie	Governor of New Jersey	New Jersey	republican	8	17	16	14	5	18
americas-health-insurance-plans	Trade group representing the health insurance industry	Washington, D.C.	none	0	0	2	0	0	0
greg-abbott	governor	Texas	republican	8	3	6	4	5	8
david-cicilline	mayor of Providence	Rhode Island	democrat	6	4	5	3	1	7
wendy-davis	state senator	Texas	democrat	5	1	5	7	1	0
marcy-kaptur	Representative from Ohio's Ninth Congressional District	Ohio	democrat	0	2	4	4	0	4
americans-tax-reform			none	3	0	1	1	1	0
tweets			none	1	3	1	2	2	1
hank-johnson	U.S. Congressman	Georgia	democrat	1	0	3	2	0	2
facebook-posts	Social media posting		none	12	12	13	9	26	6
lamar-smith	Congressman	Texas	republican	2	4	1	2	0	4
bill-johnson	U.S. representative	Ohio	republican	2	0	0	0	0	0
eric-hovde			republican	1	2	1	0	0	0
ben-carson			republican	7	11	3	1	3	0
mark-neumann	Developer and homebuilder	Wisconsin	republican	1	3	1	1	1	1
sarah-palin		Alaska	republican	5	17	8	4	6	12
sherrod-brown	U.S. Senator	Ohio	democrat	1	3	4	5	1	9
nextgen-climate			organization	0	0	2	0	0	0
john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	5	5	8	11	1	13
ileana-ros-lehtinen	U.S. Representative	Florida	republican	0	0	1	0	0	1
lindsey-graham	U.S. senator	South Carolina	republican	2	1	4	1	0	1
democratic-senatorial-campaign-committee			democrat	1	2	3	1	0	1
agenda-project	Liberal advocacy group	New York	none	0	1	0	1	0	0
rand-paul	Candidate for U.S. Senate and physician	Kentucky	republican	5	4	8	9	3	10
kesha-rogers		Texas	democrat	1	0	1	0	0	0
jeff-merkley	U.S. Senator	Oregon	democrat	0	1	2	5	0	4
sheila-oliver	Assemblywoman	New Jersey	democrat	0	1	1	2	0	1
judd-gregg	U.S. Senator		republican	0	0	0	1	0	2
dick-cheney			republican	3	4	1	2	1	3
michael-moore	Documentary filmmaker		none	1	2	1	5	0	2
bill-richardson	Governor	New Mexico	democrat	1	1	3	6	1	1
paul-sarlo	State Senator	New Jersey	democrat	0	0	1	0	0	1
connie-mack	U.S. representative from Fort Myers	Florida	republican	3	3	1	2	1	3
allen-west	U.S. representative, Florida District 22	Florida	republican	5	6	3	1	2	2
moveon			democrat	1	4	3	0	0	5
lou-dobbs			none	0	2	1	1	0	0
edith-ajello	Rhode Island State Representative	Rhode Island	democrat	0	1	0	0	0	1
steve-latourette	Former U.S. representative from Ohio's 11th District	Ohio	republican	0	0	2	0	0	1
trent-franks	U.S. Representative	Arizona	republican	2	1	0	0	0	0
kim-guadagno	Lieutenant Governor of New Jersey		republican	0	2	1	0	0	0
ted-strickland	Former Ohio governor	Ohio	democrat	2	6	7	2	0	1
us-chamber-commerce			none	6	1	3	1	1	1
scott-brown		New Hampshire	republican	2	3	1	3	1	0
julian-castro	Mayor, San Antonio	Texas	democrat	0	0	3	3	0	3
michele-bachmann	Congresswoman	Minnesota	republican	7	18	4	3	11	3
dan-patrick	Lieutenant governor-elect	Texas	republican	3	4	3	1	4	2
jeb-bush		Florida	republican	15	5	14	16	1	12
florida-chamber-commerce		Florida	none	0	1	0	2	1	1
newt-gingrich	Co-host on CNN's "Crossfire"	Georgia	republican	13	14	20	6	10	6
tom-barrett	Mayor of Milwaukee	Wisconsin	democrat	1	3	8	5	3	3
roy-blunt	Senator	Missouri	republican	1	1	0	0	1	1
andrew-napolitano	judge		republican	2	0	2	0	2	0
christopher-plante	executive director, National Organization for Marriage - Rhode Island	Rhode Island	newsmaker	0	0	0	1	1	0
gerry-connolly	U.S. Representative	Virginia	democrat	1	0	2	1	0	1
dave-weldon		Florida	republican	2	0	0	0	1	0
peter-kilmartin	state representative	Rhode Island	democrat	0	0	1	1	1	1
roger-williams	Businessman	Texas	republican	2	2	2	0	1	2
david-dewhurst	Lieutenant governor	Texas	republican	6	5	7	2	5	4
josh-mandel	Ohio treasurer	Ohio	republican	2	4	4	4	4	4
nathan-deal			republican	8	5	10	9	0	11
bill-clinton	former president	Arkansas	democrat	3	1	9	10	2	6
chip-rogers	State Senator	Georgia	republican	1	0	1	1	0	1
mike-huckabee	author	Arkansas	republican	11	4	9	3	3	7
progress-texas		Texas	none	3	0	1	0	2	0
dinesh-dsouza	Author and film director	California	none	1	0	0	0	1	0
bill-foster	Mayor, St. Petersburg	Florida	republican	0	0	2	2	0	1
bob-mcdonnell	Governor	Virginia	republican	5	7	7	6	3	9
dwight-jones	Mayor, City of Richmond	Virginia	democrat	1	1	1	1	0	0
organizing-america			democrat	0	0	2	0	1	0
rick-santorum		Pennsylvania	republican	11	10	11	6	5	3
chris-wallace	Fox News Sunday host		none	0	0	2	0	0	0
lloyd-doggett	Texas congressman in the U.S. Houst of Representatives	Texas	democrat	1	0	1	5	0	2
rob-cornilles	consultant	Oregon	republican	1	1	1	1	1	2
frank-guinta	U.S. Congress, NH-First District	New Hampshire	republican	1	1	1	1	0	0
cory-mason	State Assembly member, 62nd District	Wisconsin	democrat	2	0	0	0	0	0
dan-kaufman			none	0	0	1	1	0	0
larry-elder	Radio talk show host		talk-show-host	0	3	0	0	0	0
dale-kooyenga	State Representative	Wisconsin	republican	0	1	2	1	0	0
dan-gelber		Florida	democrat	2	1	1	3	0	0
new-hampshire-democratic-party		New Hampshire	democrat	4	0	2	3	0	0
mary-nolan	Represents Southwest Portland in Oregon House	Oregon	democrat	0	0	2	0	0	2
steve-rothman			democrat	0	2	0	0	1	1
mary-margaret-oliver	State Representative	Georgia	democrat	0	0	1	0	0	1
chuck-grassley	U.S. senator	Iowa	republican	0	1	1	0	0	1
vincent-buddy-cianci		Rhode Island	independent	0	2	1	2	1	1
national-organization-marriage	Nonprofit organization	Rhode Island	organization	0	1	0	0	1	0
jon-stewart			none	0	2	1	1	1	2
americans-prosperity			none	4	4	2	1	2	0
karen-handel			republican	2	0	2	3	1	2
adam-kinzinger	U.S. Representative	Illinois	republican	0	2	1	0	0	0
donna-howard	Texas House Representative	Texas	democrat	1	0	0	2	0	3
GaGOP			republican	2	1	1	0	0	0
bob-graham		Florida	democrat	1	0	1	1	0	0
glenn-grothman	State Senator, 20th District	Wisconsin	republican	2	5	0	1	0	1
we-are-ohio		Ohio	none	2	0	0	1	0	0
arianna-huffington	Founder, The Huffington Post		none	0	0	2	3	0	0
joe-lieberman	Senator	Connecticut	independent	1	1	0	1	0	1
jon-erpenbach	State Senator, District 27	Wisconsin	democrat	2	0	0	1	0	0
john-kerry	Secretary of State	Massachusetts	democrat	2	2	2	2	0	1
lou-greenwald	State Assemblyman	New Jersey	democrat	0	1	1	2	1	1
kathleen-vinehout			democrat	1	0	1	1	0	0
michael-burgess	U.S. House member	Texas	republican	1	1	0	0	0	0
republican-governors-association		Washington, D.C.	republican	5	1	4	4	2	0
ralph-nader	Attorney, activist	Connecticut	independent	1	1	0	1	0	1
leticia-van-de-putte	Pharmacist	Texas	democrat	2	1	4	0	1	2
judicial-watch			organization	1	1	0	0	0	0
tom-price	Congressman	Georgia	republican	1	1	4	2	0	3
sondy-pope	State Representative	Wisconsin	democrat	0	1	1	1	0	0
carlos-curbelo	Miami-Dade school board member	Florida	republican	0	1	0	1	0	0
loretta-weinberg	State Senator		democrat	1	2	0	1	0	3
tim-knopp			republican	0	0	1	1	0	0
brett-hulsey			democrat	1	3	0	0	0	1
james-clyburn	U.S. Representative	South Carolina	democrat	1	1	0	1	0	0
reince-priebus	Chairman, Republican National Committee	Wisconsin	republican	2	7	6	2	1	1
rahm-emanuel	Mayor of Chicago	Illinois	democrat	1	1	1	2	0	1
michael-steele	chairman of the Republican National Committee	Maryland	republican	0	1	1	0	2	2
claire-mccaskill	U.S. Senator	Missouri	democrat	1	1	0	0	0	1
60-plus-association			none	1	0	0	0	1	0
chris-abele	Philanthropist	Wisconsin	none	3	2	4	4	2	0
kenneth-block	businessman		republican	0	2	2	2	0	1
michael-doherty			republican	1	2	1	1	0	2
ellen-rosenblum			democrat	1	0	0	0	0	1
american-crossroads			republican	5	3	2	0	0	0
tim-kaine	U.S. Senator	Virginia	democrat	6	4	12	13	0	9
debbie-wasserman-schultz	U.S. Representative, Florida District 23	Florida	democrat	7	7	6	12	2	4
jimmy-carter		Georgia	democrat	1	0	2	2	0	1
bobby-jindal	Governor of Louisiana	Louisiana	republican	0	1	3	3	0	1
joanne-kloppenburg	State Appeals Court judge	Wisconsin	none	2	1	0	2	1	0
paul-krugman	New York Times columnist		none	0	2	2	3	0	7
mike-pence	Governor	Indiana	republican	5	8	9	2	0	3
bookerfail			none	1	0	1	0	0	0
kay-bailey-hutchison	U.S. Senator	Texas	republican	2	4	2	2	0	3
democratic-national-committee			none	5	2	5	8	0	5
mike-foley	State representative	Ohio	democrat	0	0	0	2	0	0
americans-job-security			none	0	0	2	0	0	0
john-kitzhaber	Governor of Oregon	Oregon	democrat	0	1	3	2	0	1
katie-mcginty		Pennsylvania	democrat	1	0	0	0	1	1
adam-putnam	Florida Commissioner of Agriculture	Florida	republican	0	1	1	2	1	2
virginia-foxx	U.S. Representative	North Carolina	republican	0	0	0	1	1	1
clay-pell	Candidate for Rhode Island governor	Rhode Island	democrat	0	0	1	1	0	0
ginny-brown-waite	Congresswoman	Florida	republican	1	0	2	0	0	0
kevin-dewine	Chairman of the Ohio Republican Party	Ohio	republican	1	0	0	0	0	1
naral-pro-choice		Washington, D.C.	organization	2	0	0	0	1	1
kasim-reed			democrat	0	1	4	6	1	4
alberta-darling	State Senator, 8th District	Wisconsin	republican	1	1	2	1	0	1
cory-gardner	U.S. House of Representatives	Colorado	republican	3	0	0	0	0	0
priorities-usa-action			democrat	2	1	3	2	0	1
ed-gillespie	Republican strategist	Washington, D.C.	republican	2	2	2	2	1	2
tommy-thompson		Wisconsin	republican	6	6	4	4	2	2
mike-lee	U.S. Senator	Utah	republican	0	0	1	1	0	0
david-axelrod			democrat	2	1	6	7	0	2
paul-broun	Congressman	Georgia	republican	4	8	3	2	1	1
national-rifle-association			none	1	5	1	4	2	1
martin-omalley	Maryland governor	Maryland	democrat	3	0	8	3	0	0
american-leadhership-pac	Political Action Committee	Rhode Island	organization	0	0	1	2	0	0
jeff-greene		Florida	democrat	3	3	3	0	0	0
jamie-radtke		Virginia	republican	1	1	0	2	0	2
sylvester-turner	Attorney	Texas	democrat	0	2	0	2	0	0
chris-redfern	Chairman of the  Ohio Democratic Party	Ohio	democrat	0	0	2	3	0	1
charles-schumer	Senator	New York	democrat	0	1	2	2	0	1
kathleen-falk			democrat	1	2	3	1	0	2
steve-lonegan	Conservative Activist	New Jersey	republican	1	1	1	0	0	2
next-generation-climate-action-committee			democrat	0	1	0	0	1	1
corey-lewandowski	Campaign manager for Donald Trump		republican	1	2	0	0	0	0
bobby-scott	U.S. Congressman	Virginia	democrat	1	2	1	4	0	2
sean-duffy	Member of the U.S. House	Wisconsin	republican	1	2	5	1	2	1
angel-taveras	Mayor of Providence	Rhode Island	democrat	0	1	1	2	0	0
mike-rogers	national security commentator for CNN	Michigan	republican	0	1	1	2	1	1
bill-nelson		Florida	democrat	3	1	7	9	0	3
lincoln-chafee		Rhode Island	democrat	3	4	3	4	0	3
kathleen-clyde	State representative	Ohio	democrat	0	0	0	0	0	2
richard-ferruccio	Correctional officer	Rhode Island	newsmaker	0	1	0	0	0	1
gene-sperling	Director of the National Economic Council 		democrat	1	0	0	0	0	1
cokie-roberts	NPR contributor, ABC commentator	Maryland	journalist	1	0	2	2	0	1
barbara-boxer	U.S. Senator	California	democrat	2	0	2	4	1	0
republican-national-committee-republican			republican	3	5	7	4	1	4
randy-forbes	Representative	Virginia	republican	0	0	4	3	0	4
club-growth			none	4	4	4	2	0	3
joaquin-castro	attorney	Texas	democrat	1	0	1	1	0	1
joe-manchin	Senator from West Virginia	West Virginia	democrat	0	0	1	1	0	0
fulton-county-health-and-wellness	none	Georgia	none	0	0	0	1	0	1
brigid-shea	Principal, Carbon Shrinks LLC	Texas	democrat	0	0	1	0	0	1
carly-fiorina		California	republican	4	5	4	3	2	2
neera-tanden	President of the Center for American Progress		newsmaker	0	0	0	1	0	1
chuck-todd	MSNBC political reporter		none	0	0	1	1	0	4
elaine-boyer			republican	0	0	1	1	0	0
betty-sutton	U.S. representative from Ohio's 13th District	Ohio	democrat	0	2	0	1	1	2
keith-olbermann	Political commentator		none	0	2	3	2	0	0
jason-isaac	Transportation consultant	Texas	republican	2	0	1	0	0	1
jennette-gayer			none	0	0	1	1	0	0
bill-hammond	CEO, president, Texas Association of Business & Chambers of Commerce	Texas	republican	1	0	0	1	0	1
health-care-america-now	healthcare reform advocacy group	Washington, D.C.	none	2	1	0	0	0	0
jim-renacci	U.S. representative 	Ohio	republican	3	3	4	0	1	1
committee-our-childrens-future	Political advocacy group	New Jersey	none	0	0	1	1	0	0
rush-holt			democrat	0	1	2	1	0	2
rob-turner	Hillsborough County Property Appraiser	Florida	republican	0	0	0	1	0	1
mike-dewine	Ohio attorney general	Ohio	republican	2	0	2	1	0	2
roy-cooper	Attorney General	North Carolina	democrat	1	0	3	1	0	0
monica-wehby	Pediatric neurosurgeon	Oregon	republican	0	3	0	0	0	1
ed-fitzgerald	Cuyahoga County executive	Ohio	democrat	1	0	0	1	0	1
jack-kingston	U.S. Representative	Georgia	republican	2	0	2	1	0	1
todd-staples	state agriculture commissioner	Texas	republican	0	1	3	2	1	2
tom-coburn	U.S. Senator	Oklahoma	republican	1	2	3	2	0	0
barbara-buono	State Senator	New Jersey	democrat	3	1	1	4	0	1
mark-miller	State Senator, District 16	Wisconsin	democrat	1	1	0	0	0	1
george-lemieux		Florida	republican	3	1	4	3	0	1
viral-image			none	3	3	0	2	11	0
social-media			none	0	0	0	0	2	0
kevin-de-leon	California Senate leader	California	democrat	0	0	0	2	0	0
henry-cuellar	U.S. Representative	Texas	democrat	1	0	0	0	0	1
deborah-ross	Democratic candidate for U.S. Senate	North Carolina	democrat	0	0	3	0	0	1
joseph-kyrillos	State Senator	New Jersey	republican	2	3	2	2	1	0
americans-prosperity-florida	advocacy group	Florida	none	2	0	0	0	1	0
barry-hinckley		Rhode Island	republican	0	4	0	2	2	2
joe-barton	U.S. Representative	Texas	republican	3	1	0	0	0	1
jon-kyl	U.S. Senator	Arizona	republican	0	1	4	3	0	1
americans-responsible-solutions			none	1	0	1	1	0	0
peter-palumbo	State Representative	Rhode Island	democrat	3	1	1	0	0	1
roy-barnes	Attorney	Georgia	democrat	0	1	4	1	1	0
winning-our-future			none	2	2	3	1	0	0
pat-mccrory	Governor of North Carolina	North Carolina	republican	3	1	2	0	1	0
don-zimmerman	Computer systems	Texas	republican	2	0	0	1	0	0
michael-savage			none	0	0	1	0	1	0
sharron-angle	Republican nominee for Nevada U.S. Senate seat	Nevada	republican	2	2	1	0	0	0
patrick-murphy		Florida	democrat	2	1	3	3	0	3
reader-email			none	0	0	0	1	1	0
sean-spicer	Communications Director for the Republican National Committee		republican	0	0	0	0	1	1
helen-glover	talk show host, WHJJ	Rhode Island	talk-show-host	1	1	0	0	0	1
citizens-united-political-victory-fund		Washington, D.C.	republican	0	0	0	1	0	1
fred-thompson	Actor	Tennessee	republican	1	1	3	3	0	5
david-clarke-jr	Milwaukee County Sheriff	Wisconsin	democrat	3	5	2	1	0	0
caleb-rowden	State representative	Missouri	republican	1	0	1	1	0	0
republican-party-virginia		Virginia	republican	2	0	0	0	1	1
brian-kemp	Secretary of State	Georgia	republican	0	2	0	0	0	2
leonidas-raptakis	State Senator	Rhode Island	democrat	0	0	1	0	0	1
howard-dean	Democratic National Committee chairman	Vermont	democrat	1	4	1	2	0	0
ohio-democratic-party		Ohio	democrat	4	0	2	2	1	2
joe-sestak	U.S. Representative	Pennsylvania	democrat	1	0	1	1	0	0
national-right-life-committee			none	1	2	1	0	0	1
american-bridge-21st-century			democrat	2	1	0	2	0	1
susan-stimpson		Virginia	republican	0	1	0	1	0	0
michael-riley		Rhode Island	republican	2	1	1	0	0	0
pat-toomey	Candidate for U.S. Senate	Pennsylvania	republican	2	3	2	1	0	0
ward-armstrong	Minority leader, House of Delegates	Virginia	democrat	0	3	1	0	1	0
back-basics		Texas	democrat	0	2	1	1	0	0
democratic-party-virginia		Virginia	democrat	2	0	1	3	0	0
tim-canova	Nova Southeastern University law professor	Florida	democrat	0	0	2	2	0	0
campaign-regulate-marijuana-alcohol		Arizona	none	0	0	1	0	0	1
kamala-harris	Attorney General	California	democrat	0	0	1	2	0	0
john-oliver	Host, Last Week Tonight		none	0	0	2	2	0	2
ellyn-bogdanoff	state representative	Florida 	republican	1	1	1	0	0	0
earl-blumenauer	U.S. representative	Oregon	democrat	0	0	1	1	0	3
ted-poe	U.S. House Representative	Texas	republican	0	1	1	0	0	0
senior-citizens-league	advocacy group for senior citizens	Virginia	none	1	1	0	0	0	0
bill-maher	Host of Real Time with Bill Maher	California	independent	0	3	1	5	0	1
jim-demint	President, Heritage Foundation	South Carolina	republican	3	3	0	0	1	1
gina-raimondo	venture capital company founder	Rhode Island	democrat	2	1	2	4	1	3
kitty-boitnott	President, Virginia Education Association	Virgina	none	0	1	0	1	0	1
nancy-devaney	chairwoman, Ocean State Prevention Alliance	Rhode Island	newsmaker	0	1	0	1	0	0
herman-cain		Georgia	republican	3	10	4	3	3	0
chet-edwards	U.S. House member	Texas	democrat	0	2	0	0	0	1
glenn-beck			none	3	5	7	1	2	3
keep-conservatives-united	Super-PAC	North Carolina	republican	1	0	0	0	1	0
glenn-hegar	Farmer	Texas	republican	0	1	1	1	0	0
jon-runyan	Congressman	New Jersey	republican	1	3	0	0	0	0
david-perdue	U.S. Senate candidate	Georgia	republican	4	1	3	3	0	0
charlotte-nash		Georgia	republican	1	0	1	2	0	2
john-carter	U.S. House of Representatives	Texas	republican	0	3	1	2	2	0
ron-wyden	U.S. Senator	Oregon	democrat	0	1	0	3	0	3
michael-turner	Representative from Ohio's 3rd Congressional District	Ohio	republican	1	0	2	0	0	0
steve-archambault	Lawyer	Rhode Island	democrat	0	0	0	1	1	0
miami-seaport-alliance		Florida	none	0	1	0	1	0	0
peter-king	U.S. House of Representatives	New York	republican	0	1	1	2	1	0
state-democratic-party-wisconsin		Wisconsin	democrat	4	6	2	2	5	1
tim-pawlenty			republican	2	4	2	3	1	2
upendra-chivukula	State Assemblyman	New Jersey	democrat	1	0	0	1	0	0
marcia-fudge	Representative from Ohio's 11th Congressional District	Ohio	democrat	0	0	2	3	0	2
steve-cohen	U.S. Representative	Tennessee	democrat	0	0	1	0	1	2
jim-jordan	U.S. representative	Ohio	republican	1	0	2	3	0	2
lon-burnam	State representative	Texas	democrat	1	1	0	0	0	0
shirley-franklin		Georgia	democrat	0	0	1	0	1	0
george-voinovich	Former U.S. senator from Ohio	Ohio	republican	0	0	0	0	0	2
georgians-together	PAC	Georgia 	democrat	1	0	1	0	0	0
wisconsin-state-afl-cio			organization	1	1	0	0	0	0
marsha-blackburn	U.S. Representative	Tennessee	republican	2	1	0	0	0	1
sally-kohn			columnist	0	0	1	1	0	0
grover-norquist	President, Americans for Tax Reform		republican	0	3	0	0	1	0
mitch-daniels	governor	Indiana	republican	0	3	0	0	1	0
al-sharpton		New York	democrat	1	1	1	0	0	0
patriot-majority-usa			democrat	1	1	0	1	1	0
dekalb-county		Georgia	none	1	0	0	1	0	0
national-taxpayers-union	Conservative advocacy group	Virginia	none	0	1	1	0	0	0
michael-roberson	State Senate Majority Leader	Nevada	republican	0	1	1	0	0	0
ann-mclane-kuster	Attorney	New Hampshire	democrat	0	0	4	0	0	1
americans-prosperity-georgia-chapter			none	0	0	2	1	0	0
mr-conservative	Conservative website	None	none	0	1	0	0	1	0
mark-hass	state representative	Oregon	democrat	0	1	1	1	0	0
jim-sensenbrenner	Member of Congress	Wisconsin	republican	2	3	1	0	0	1
freedom-partners-action-fund			organization	0	1	1	0	0	1
randi-shade	Member, Austin City Council	Texas	democrat	0	0	1	2	0	0
restore-our-future	super PAC		republican	1	0	3	1	1	1
juan-williams	Pundit, Fox News		none	2	0	2	1	0	1
jim-webb	writer	Virginia	democrat	1	0	0	3	0	2
tom-graves			republican	1	0	2	0	0	4
russ-feingold		Wisconsin	democrat	1	3	5	4	1	1
joe-garcia	lawyer	Florida	democrat	0	2	0	0	0	0
ann-coulter	Columnist and author	New York	republican	2	3	2	0	3	1
restoration-pac			organization	1	0	0	0	1	0
